Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, directionalNoAccel, StraightLine, 135.28, 0, 0.15, 0, 0, False, 0
1, directionalNoAccel, StraightLine, 135.3, 0, 0.1461545, 0, 0, False, 0
2, directionalNoAccel, StraightLine, 135.32, 0, 0.1413049, 0, 0, False, 0
3, directionalNoAccel, StraightLine, 135.34, 0, 0.1355148, 0, 0, False, 0
4, directionalNoAccel, StraightLine, 135.36, 0, 0.1288472, 0, 0, False, 0
5, directionalNoAccel, StraightLine, 135.38, -4.23394E-12, 0.1213638, -2.11697E-12, 0, False, 0
6, directionalNoAccel, StraightLine, 135.4, -1.680021E-11, 0.1131254, -8.400107E-12, 0, False, 0
7, directionalNoAccel, StraightLine, 135.42, -3.948206E-11, 0.1041912, -1.974103E-11, 0, False, 0
8, directionalNoAccel, StraightLine, 135.44, -7.843132E-11, 0.09461969, -3.921566E-11, 0, False, 0
9, directionalNoAccel, StraightLine, 135.46, -1.373456E-10, 0.08446735, -6.754966E-11, 0, False, 0
10, directionalNoAccel, StraightLine, 135.48, -2.220715E-10, 0.07378954, -1.077207E-10, 0, False, 0
11, directionalNoAccel, StraightLine, 135.5, -3.474871E-10, 0.06264007, -1.672204E-10, 0, False, 0
12, directionalNoAccel, StraightLine, 135.52, -5.209142E-10, 0.05252802, -2.485486E-10, 0, False, 0
13, directionalNoAccel, StraightLine, 135.54, -7.993828E-10, 0.05050588, -3.732392E-10, 0, False, 0
14, directionalNoAccel, StraightLine, 135.56, -4.443471E-09, 0.05010122, -9.88206E-10, 0, False, 0
15, directionalNoAccel, StraightLine, 135.58, -9.635162E-09, 0.05002028, -1.830113E-09, 0, False, 0
16, directionalNoAccel, StraightLine, 135.6, -1.553747E-08, 0.05000407, -2.786924E-09, 0, False, 0
17, directionalNoAccel, StraightLine, 135.62, -2.189404E-08, 0.05000085, -3.808773E-09, 0, False, 0
18, directionalNoAccel, StraightLine, 135.64, -2.861952E-08, 0.05000019, -4.889982E-09, 0, False, 0
19, directionalNoAccel, StraightLine, 135.66, -3.56732E-08, 0.05000007, -6.023432E-09, 0, False, 0
20, directionalNoAccel, StraightLine, 135.68, -4.306117E-08, 0.05000007, -7.203083E-09, 0, False, 0
21, directionalNoAccel, StraightLine, 135.7, -5.077722E-08, 0.05000001, -8.442097E-09, 0, False, 0
22, directionalNoAccel, StraightLine, 135.72, -5.882709E-08, 0.05000001, -9.734631E-09, 0, False, 0
23, directionalNoAccel, StraightLine, 135.74, -6.716842E-08, 0.05000001, -1.107406E-08, 0, False, 0
24, directionalNoAccel, StraightLine, 135.76, -7.580805E-08, 0.05000001, -1.245419E-08, 0, False, 0
25, directionalNoAccel, StraightLine, 135.78, -8.474094E-08, 0.05000001, -1.388776E-08, 0, False, 0
26, directionalNoAccel, StraightLine, 135.8, -9.397202E-08, 0.05000001, -1.536812E-08, 0, False, 0
27, directionalNoAccel, StraightLine, 135.82, -1.035068E-07, 0.05000001, -1.68892E-08, 0, False, 0
28, directionalNoAccel, StraightLine, 135.84, -1.132936E-07, 0.05000001, -1.846329E-08, 0, False, 0
29, directionalNoAccel, StraightLine, 135.86, -1.233388E-07, 0.05000001, -2.008424E-08, 0, False, 0
30, directionalNoAccel, StraightLine, 135.88, -1.336503E-07, 0.05000001, -2.174598E-08, 0, False, 0
31, directionalNoAccel, StraightLine, 135.9, -1.442325E-07, 0.05000001, -2.344222E-08, 0, False, 0
32, directionalNoAccel, StraightLine, 135.92, -1.550817E-07, 0.05000001, -2.51858E-08, 0, False, 0
33, directionalNoAccel, StraightLine, 135.94, -1.662036E-07, 0.05000001, -2.697053E-08, 0, False, 0
34, directionalNoAccel, StraightLine, 135.96, -1.775583E-07, 0.05000001, -2.879002E-08, 0, False, 0
35, directionalNoAccel, StraightLine, 135.98, -1.891414E-07, 0.05000001, -3.065763E-08, 0, False, 0
36, directionalNoAccel, StraightLine, 136, -2.009607E-07, 0.05000001, -3.256723E-08, 0, False, 0
37, directionalNoAccel, StraightLine, 136.02, -2.130234E-07, 0.05000001, -3.451289E-08, 0, False, 0
38, directionalNoAccel, StraightLine, 136.04, -2.253356E-07, 0.05000001, -3.648839E-08, 0, False, 0
39, directionalNoAccel, StraightLine, 136.06, -2.378479E-07, 0.05000001, -3.850687E-08, 0, False, 0
40, directionalNoAccel, StraightLine, 136.08, -2.505664E-07, 0.05000001, -4.056282E-08, 0, False, 0
41, directionalNoAccel, StraightLine, 136.1, -2.634979E-07, 0.05000001, -4.265035E-08, 0, False, 0
42, directionalNoAccel, StraightLine, 136.12, -2.766505E-07, 0.05000001, -4.476341E-08, 0, False, 0
43, directionalNoAccel, StraightLine, 136.14, -2.900203E-07, 0.05000001, -4.691544E-08, 0, False, 0
44, directionalNoAccel, StraightLine, 136.16, -3.036152E-07, 0.05000001, -4.910011E-08, 0, False, 0
45, directionalNoAccel, StraightLine, 136.18, -3.173961E-07, 0.05000001, -5.131148E-08, 0, False, 0
46, directionalNoAccel, StraightLine, 136.2, -3.3136E-07, 0.05000001, -5.356329E-08, 0, False, 0
47, directionalNoAccel, StraightLine, 136.22, -3.455139E-07, 0.05000001, -5.584935E-08, 0, False, 0
48, directionalNoAccel, StraightLine, 136.24, -3.598651E-07, 0.05000001, -5.816313E-08, 0, False, 0
49, directionalNoAccel, StraightLine, 136.26, -3.744207E-07, 0.05000001, -6.049921E-08, 0, False, 0
50, directionalNoAccel, StraightLine, 136.28, -3.891319E-07, 0.05000001, -6.287114E-08, 0, False, 0
51, directionalNoAccel, StraightLine, 136.3, -4.040071E-07, 0.05000001, -6.527318E-08, 0, False, 0
52, directionalNoAccel, StraightLine, 136.32, -4.190542E-07, 0.05000001, -6.76998E-08, 0, False, 0
53, directionalNoAccel, StraightLine, 136.34, -4.342823E-07, 0.05000001, -7.014535E-08, 0, False, 0
54, directionalNoAccel, StraightLine, 136.36, -4.49688E-07, 0.05000001, -7.262372E-08, 0, False, 0
55, directionalNoAccel, StraightLine, 136.38, -4.652783E-07, 0.05000001, -7.51295E-08, 0, False, 0
56, directionalNoAccel, StraightLine, 136.4, -4.810159E-07, 0.05000001, -7.765716E-08, 0, False, 0
57, directionalNoAccel, StraightLine, 136.42, -4.969096E-07, 0.05000001, -8.020123E-08, 0, False, 0
58, directionalNoAccel, StraightLine, 136.44, -5.129579E-07, 0.05000001, -8.277586E-08, 0, False, 0
59, directionalNoAccel, StraightLine, 136.46, -5.291681E-07, 0.05000001, -8.537507E-08, 0, False, 0
60, directionalNoAccel, StraightLine, 136.48, -5.45548E-07, 0.05000001, -8.799328E-08, 0, False, 0
61, directionalNoAccel, StraightLine, 136.5, -5.620487E-07, 0.05000001, -9.064436E-08, 0, False, 0
62, directionalNoAccel, StraightLine, 136.52, -5.786793E-07, 0.05000001, -9.332207E-08, 0, False, 0
63, directionalNoAccel, StraightLine, 136.54, -5.954478E-07, 0.05000001, -9.60206E-08, 0, False, 0
64, directionalNoAccel, StraightLine, 136.56, -6.123631E-07, 0.05000001, -9.873466E-08, 0, False, 0
65, directionalNoAccel, StraightLine, 136.58, -6.294236E-07, 0.05000001, -1.014781E-07, 0, False, 0
66, directionalNoAccel, StraightLine, 136.6, -6.46638E-07, 0.05000001, -1.042453E-07, 0, False, 0
67, directionalNoAccel, StraightLine, 136.62, -6.639684E-07, 0.05000001, -1.070305E-07, 0, False, 0
68, directionalNoAccel, StraightLine, 136.64, -6.814238E-07, 0.05000001, -1.098284E-07, 0, False, 0
69, directionalNoAccel, StraightLine, 136.66, -6.990036E-07, 0.05000001, -1.126525E-07, 0, False, 0
70, directionalNoAccel, StraightLine, 136.68, -7.167162E-07, 0.05000001, -1.154967E-07, 0, False, 0
71, directionalNoAccel, StraightLine, 136.7, -7.345696E-07, 0.05000001, -1.183555E-07, 0, False, 0
72, directionalNoAccel, StraightLine, 136.72, -7.525147E-07, 0.05000001, -1.212425E-07, 0, False, 0
