Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, directional, StraightLine, 226.52, 0, 0.15, 0, 0, False, 0
1, directional, StraightLine, 226.54, 0, 0.1461545, 0, 0, False, 0
2, directional, StraightLine, 226.56, 0, 0.1413049, 0, 0, False, 0
3, directional, StraightLine, 226.58, 0, 0.1355148, 0, 0, False, 0
4, directional, StraightLine, 226.6, 0, 0.1288472, 0, 0, False, 0
5, directional, StraightLine, 226.62, -4.23394E-12, 0.1213638, -2.11697E-12, 0, False, 0
6, directional, StraightLine, 226.64, -1.680021E-11, 0.1131254, -8.400107E-12, 0, False, 0
7, directional, StraightLine, 226.66, -3.948206E-11, 0.1041912, -1.974103E-11, 0, False, 0
8, directional, StraightLine, 226.68, -7.843132E-11, 0.09461969, -3.921566E-11, 0, False, 0
9, directional, StraightLine, 226.7, -1.373456E-10, 0.08446735, -6.754966E-11, 0, False, 0
10, directional, StraightLine, 226.72, -2.220715E-10, 0.07378954, -1.077207E-10, 0, False, 0
11, directional, StraightLine, 226.74, -3.474871E-10, 0.06264007, -1.672204E-10, 0, False, 0
12, directional, StraightLine, 226.76, -5.209142E-10, 0.05252802, -2.485486E-10, 0, False, 0
13, directional, StraightLine, 226.78, -7.993828E-10, 0.05050588, -3.732392E-10, 0, False, 0
14, directional, StraightLine, 226.8, -4.443471E-09, 0.05010122, -9.88206E-10, 0, False, 0
15, directional, StraightLine, 226.82, -9.635162E-09, 0.05002028, -1.830113E-09, 0, False, 0
16, directional, StraightLine, 226.84, -1.553747E-08, 0.05000407, -2.786924E-09, 0, False, 0
17, directional, StraightLine, 226.86, -2.189404E-08, 0.05000085, -3.808773E-09, 0, False, 0
18, directional, StraightLine, 226.88, -2.861952E-08, 0.05000019, -4.889982E-09, 0, False, 0
19, directional, StraightLine, 226.9, -3.56732E-08, 0.05000007, -6.023432E-09, 0, False, 0
20, directional, StraightLine, 226.92, -4.306117E-08, 0.05000007, -7.203083E-09, 0, False, 0
21, directional, StraightLine, 226.94, -5.077722E-08, 0.05000001, -8.442097E-09, 0, False, 0
22, directional, StraightLine, 226.96, -5.882709E-08, 0.05000001, -9.734631E-09, 0, False, 0
23, directional, StraightLine, 226.98, -6.716842E-08, 0.05000001, -1.107406E-08, 0, False, 0
24, directional, StraightLine, 227, -7.580805E-08, 0.05000001, -1.245419E-08, 0, False, 0
25, directional, StraightLine, 227.02, -8.474094E-08, 0.05000001, -1.388776E-08, 0, False, 0
26, directional, StraightLine, 227.04, -9.397202E-08, 0.05000001, -1.536812E-08, 0, False, 0
27, directional, StraightLine, 227.06, -1.035068E-07, 0.05000001, -1.68892E-08, 0, False, 0
28, directional, StraightLine, 227.08, -1.132936E-07, 0.05000001, -1.846329E-08, 0, False, 0
29, directional, StraightLine, 227.1, -1.233388E-07, 0.05000001, -2.008424E-08, 0, False, 0
30, directional, StraightLine, 227.12, -1.336503E-07, 0.05000001, -2.174598E-08, 0, False, 0
31, directional, StraightLine, 227.14, -1.442325E-07, 0.05000001, -2.344222E-08, 0, False, 0
32, directional, StraightLine, 227.16, -1.550817E-07, 0.05000001, -2.51858E-08, 0, False, 0
33, directional, StraightLine, 227.18, -1.662036E-07, 0.05000001, -2.697053E-08, 0, False, 0
34, directional, StraightLine, 227.2, -1.775583E-07, 0.05000001, -2.879002E-08, 0, False, 0
35, directional, StraightLine, 227.22, -1.891414E-07, 0.05000001, -3.065763E-08, 0, False, 0
36, directional, StraightLine, 227.24, -2.009607E-07, 0.05000001, -3.256723E-08, 0, False, 0
37, directional, StraightLine, 227.26, -2.130234E-07, 0.05000001, -3.451289E-08, 0, False, 0
38, directional, StraightLine, 227.28, -2.253356E-07, 0.05000001, -3.648839E-08, 0, False, 0
39, directional, StraightLine, 227.3, -2.378479E-07, 0.05000001, -3.850687E-08, 0, False, 0
40, directional, StraightLine, 227.32, -2.505664E-07, 0.05000001, -4.056282E-08, 0, False, 0
41, directional, StraightLine, 227.34, -2.634979E-07, 0.05000001, -4.265035E-08, 0, False, 0
42, directional, StraightLine, 227.36, -2.766505E-07, 0.05000001, -4.476341E-08, 0, False, 0
43, directional, StraightLine, 227.38, -2.900203E-07, 0.05000001, -4.691544E-08, 0, False, 0
44, directional, StraightLine, 227.4, -3.036152E-07, 0.05000001, -4.910011E-08, 0, False, 0
45, directional, StraightLine, 227.42, -3.173961E-07, 0.05000001, -5.131148E-08, 0, False, 0
46, directional, StraightLine, 227.44, -3.3136E-07, 0.05000001, -5.356329E-08, 0, False, 0
47, directional, StraightLine, 227.46, -3.455139E-07, 0.05000001, -5.584935E-08, 0, False, 0
48, directional, StraightLine, 227.48, -3.598651E-07, 0.05000001, -5.816313E-08, 0, False, 0
49, directional, StraightLine, 227.5, -3.744207E-07, 0.05000001, -6.049921E-08, 0, False, 0
50, directional, StraightLine, 227.52, -3.891319E-07, 0.05000001, -6.287114E-08, 0, False, 0
51, directional, StraightLine, 227.54, -4.040071E-07, 0.05000001, -6.527318E-08, 0, False, 0
52, directional, StraightLine, 227.56, -4.190542E-07, 0.05000001, -6.76998E-08, 0, False, 0
53, directional, StraightLine, 227.58, -4.342823E-07, 0.05000001, -7.014535E-08, 0, False, 0
54, directional, StraightLine, 227.6, -4.49688E-07, 0.05000001, -7.262372E-08, 0, False, 0
55, directional, StraightLine, 227.62, -4.652783E-07, 0.05000001, -7.51295E-08, 0, False, 0
56, directional, StraightLine, 227.64, -4.810159E-07, 0.05000001, -7.765716E-08, 0, False, 0
57, directional, StraightLine, 227.66, -4.969096E-07, 0.05000001, -8.020123E-08, 0, False, 0
58, directional, StraightLine, 227.68, -5.129579E-07, 0.05000001, -8.277586E-08, 0, False, 0
59, directional, StraightLine, 227.7, -5.291681E-07, 0.05000001, -8.537507E-08, 0, False, 0
60, directional, StraightLine, 227.72, -5.45548E-07, 0.05000001, -8.799328E-08, 0, False, 0
61, directional, StraightLine, 227.74, -5.620487E-07, 0.05000001, -9.064436E-08, 0, False, 0
62, directional, StraightLine, 227.76, -5.786793E-07, 0.05000001, -9.332207E-08, 0, False, 0
63, directional, StraightLine, 227.78, -5.954478E-07, 0.05000001, -9.60206E-08, 0, False, 0
64, directional, StraightLine, 227.8, -6.123631E-07, 0.05000001, -9.873466E-08, 0, False, 0
65, directional, StraightLine, 227.82, -6.294236E-07, 0.05000001, -1.014781E-07, 0, False, 0
66, directional, StraightLine, 227.84, -6.46638E-07, 0.05000001, -1.042453E-07, 0, False, 0
67, directional, StraightLine, 227.86, -6.639684E-07, 0.05000001, -1.070305E-07, 0, False, 0
68, directional, StraightLine, 227.88, -6.814238E-07, 0.05000001, -1.098284E-07, 0, False, 0
69, directional, StraightLine, 227.9, -6.990036E-07, 0.05000001, -1.126525E-07, 0, False, 0
70, directional, StraightLine, 227.92, -7.167162E-07, 0.05000001, -1.154967E-07, 0, False, 0
71, directional, StraightLine, 227.94, -7.345696E-07, 0.05000001, -1.183555E-07, 0, False, 0
