Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, directionalNoAccel, LeftCurve, 310.76, 0, 0.15, 0, 0, False, 0
1, directionalNoAccel, LeftCurve, 310.78, 0, 0.1461545, 0, 0, False, 0
2, directionalNoAccel, LeftCurve, 310.8, 0, 0.1413049, 0, 0, False, 0
3, directionalNoAccel, LeftCurve, 310.82, 0, 0.1355148, 0, 0, False, 0
4, directionalNoAccel, LeftCurve, 310.84, 0, 0.1288472, 0, 0, False, 0
5, directionalNoAccel, LeftCurve, 310.86, -4.23394E-12, 0.1213638, -2.11697E-12, 0, False, 0
6, directionalNoAccel, LeftCurve, 310.88, -1.680021E-11, 0.1131254, -8.400107E-12, 0, False, 0
7, directionalNoAccel, LeftCurve, 310.9, -3.948206E-11, 0.1041912, -1.974103E-11, 0, False, 0
8, directionalNoAccel, LeftCurve, 310.92, -7.843132E-11, 0.09461969, -3.921566E-11, 0, False, 0
9, directionalNoAccel, LeftCurve, 310.94, -1.373456E-10, 0.08446735, -6.754966E-11, 0, False, 0
10, directionalNoAccel, LeftCurve, 310.96, -2.220715E-10, 0.07378954, -1.077207E-10, 0, False, 0
11, directionalNoAccel, LeftCurve, 310.98, -3.474871E-10, 0.06264007, -1.672204E-10, 0, False, 0
12, directionalNoAccel, LeftCurve, 311, -5.209142E-10, 0.05252802, -2.485486E-10, 0, False, 0
13, directionalNoAccel, LeftCurve, 311.02, -7.993828E-10, 0.05050588, -3.732392E-10, 0, False, 0
14, directionalNoAccel, LeftCurve, 311.04, -4.443471E-09, 0.05010122, -9.88206E-10, 0, False, 0
15, directionalNoAccel, LeftCurve, 311.06, -9.635162E-09, 0.05002028, -1.830113E-09, 0, False, 0
16, directionalNoAccel, LeftCurve, 311.08, -1.553747E-08, 0.05000407, -2.786924E-09, 0, False, 0
17, directionalNoAccel, LeftCurve, 311.1, -2.189404E-08, 0.05000085, -3.808773E-09, 0, False, 0
18, directionalNoAccel, LeftCurve, 311.12, -2.861952E-08, 0.05000019, -4.889982E-09, 0, False, 0
19, directionalNoAccel, LeftCurve, 311.14, -3.56732E-08, 0.05000007, -6.023432E-09, 0, False, 0
20, directionalNoAccel, LeftCurve, 311.16, -4.306117E-08, 0.05000007, -7.203083E-09, 0, False, 0
21, directionalNoAccel, LeftCurve, 311.18, -5.077722E-08, 0.05000001, -8.442097E-09, 0, False, 0
22, directionalNoAccel, LeftCurve, 311.2, -5.882709E-08, 0.05000001, -9.734631E-09, 0, False, 0
23, directionalNoAccel, LeftCurve, 311.22, -6.716842E-08, 0.05000001, -1.107406E-08, 0, False, 0
24, directionalNoAccel, LeftCurve, 311.24, -7.580805E-08, 0.05000001, -1.245419E-08, 0, False, 0
25, directionalNoAccel, LeftCurve, 311.26, -8.474094E-08, 0.05000001, -1.388776E-08, 0, False, 0
26, directionalNoAccel, LeftCurve, 311.28, -9.397202E-08, 0.05000001, -1.536812E-08, 0, False, 0
27, directionalNoAccel, LeftCurve, 311.3, -1.035068E-07, 0.05000001, -1.68892E-08, 0, False, 0
