Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count, RMSE Distance, Sway V X, Sway V Y, Sway V Z, Sway V Magnitude, stg0,stg1,stg2,stg3,horizontal,vertical
0, torque, FreeMode, 3279, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0,0,0,0,46.99,50.91,50.33,45.93,0,0
1, torque, FreeMode, 3279.02, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.05310952,-0.1945741,-0.08550579,0.2190684,47.76,52.11,47.7,42.91,0,0
2, torque, FreeMode, 3279.04, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.02780635,-0.1118998,-0.08517084,0.1433486,49.81,53.96,45.77,40.63,0,0
3, torque, FreeMode, 3279.06, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.03109515,-0.1214072,-0.1207637,0.1740416,51.9,56.55,43.5,38.24,0,0
4, torque, FreeMode, 3279.08, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.008269891,-0.2778797,-0.2455333,0.3709071,55.53,60.77,40.27,35.27,0.4528889,0
5, torque, FreeMode, 3279.1, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.05808463,-0.1376477,-0.1078514,0.1842624,55.53,60.77,40.27,35.27,0.4528889,0
6, torque, FreeMode, 3279.12, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.04561894,-0.09033203,-0.08879722,0.1346325,59.64,65.03,38.28,32.72,0.5963333,0
7, torque, FreeMode, 3279.14, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.003763711,-0.003525152,-0.08412133,0.08427924,59.64,65.03,38.28,32.72,0.5963333,0
8, torque, FreeMode, 3279.16, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.01074963,-0.1021103,-0.1843738,0.211035,59.77,65.38,38.68,32.69,0.5975556,0
9, torque, FreeMode, 3279.18, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.009942404,-0.09055831,-0.1641116,0.1877027,56.81,63.12,39.4,32.85,0.5297779,0
10, torque, FreeMode, 3279.2, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.002176052,-0.02668874,-0.06986367,0.07481949,55.88,62.94,41.58,34.52,0.4746667,0
11, torque, FreeMode, 3279.22, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.05834142,-0.01707793,-0.1239847,0.1380855,55.89,62.58,44.61,37.74,0,0
12, torque, FreeMode, 3279.24, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.03706099,-0.01841178,-0.05963656,0.07258809,54.19,60.49,47.22,41.23,0,0
13, torque, FreeMode, 3279.26, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.006558302,-0.09596513,-0.08868334,0.1308322,52.47,58.47,50.11,43.86,0,0
14, torque, FreeMode, 3279.28, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.04289134,-0.05717655,-0.04493676,0.0844283,52.47,58.47,50.11,43.86,0,0
15, torque, FreeMode, 3279.3, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.01151191,-0.09300251,-0.06949418,0.116668,50.51,56.25,53.24,46.82,0,0
16, torque, FreeMode, 3279.32, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.01859749,-0.01899533,-0.02932144,0.03957823,48.35,53.92,55.35,49,0,0
17, torque, FreeMode, 3279.34, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.03477887,-0.0266411,-0.03062104,0.0534506,48.35,53.92,55.35,49,0,0
18, torque, FreeMode, 3279.36, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.02078694,-0.06296446,-0.006982571,0.06667366,47.47,52.41,56.45,50.34,0,0
19, torque, FreeMode, 3279.38, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.008345813,-0.02915396,0.01965928,0.03613991,47.62,52.1,56.78,50.84,0,0
20, torque, FreeMode, 3279.4, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.01746424,-0.02918969,0.02987075,0.04526919,47.77,52.71,55.38,49.93,0,0
21, torque, FreeMode, 3279.42, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.003620799,-0.01033727,0.01554163,0.01901346,47.77,52.71,55.38,49.93,0,0
22, torque, FreeMode, 3279.44, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.01902957,-0.01011099,0.02056587,0.02978778,48.01,53.9,53.51,48.49,0,0
23, torque, FreeMode, 3279.46, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.03068915,-0.02390196,0.04383366,0.05860475,47.81,54,51.51,46.46,0,0
24, torque, FreeMode, 3279.48, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.01113594,0.002262767,0.006031315,0.01286491,47.37,53.28,49.27,44.04,0,0
25, torque, FreeMode, 3279.5, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.06904416,0.0277963,0.004180164,0.07454666,48.2,53.57,47.72,41.94,0,0
26, torque, FreeMode, 3279.52, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.02980376,0.003239329,0.0007793147,0.02998941,48.2,53.57,47.72,41.94,0,0
27, torque, FreeMode, 3279.54, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.0435043,0.001655393,-0.0002925222,0.04353676,49.82,55.48,46.48,40.26,0,0
28, torque, FreeMode, 3279.56, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.005927192,0.001265914,0.01280382,0.01416587,50.92,57.47,45.53,39.12,0,0
29, torque, FreeMode, 3279.58, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.006317139,0.002238948,0.01668939,0.01798485,50.92,57.47,45.53,39.12,0,0
30, torque, FreeMode, 3279.6, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.0114173,0.01011099,0.01456805,0.02109064,51.76,60.64,45.09,37.37,0,0
31, torque, FreeMode, 3279.62, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.01886098,0.01044445,0.0195119,0.02907812,52.78,61,45.36,37.24,0,0
32, torque, FreeMode, 3279.64, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.001933772,0.007288491,0.03141598,0.03230829,52.07,60.12,46.08,38.13,0,0
33, torque, FreeMode, 3279.66, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.002647214,0.006085651,0.02162208,0.02261763,52.07,60.12,46.08,38.13,0,0
34, torque, FreeMode, 3279.68, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.009091633,0.008217416,0.01856957,0.02224888,51.52,59.77,47.3,39.23,0,0
35, torque, FreeMode, 3279.7, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.02659942,0.01507717,0.03921137,0.04972305,52.13,60.22,48.08,40.18,0,0
36, torque, FreeMode, 3279.72, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.01796108,0.01979326,0.04352998,0.05108064,52.51,61.37,48.66,40.35,0,0
37, torque, FreeMode, 3279.74, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.00896212,0.0007621951,0.02528642,0.02683847,52.53,61.54,48.71,40.58,0,0
38, torque, FreeMode, 3279.76, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.01157472,0.005525914,0.05236147,0.05390949,52.78,61.68,48.26,40.01,0,0
39, torque, FreeMode, 3279.78, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.007225967,0.004275438,0.02423915,0.0256521,52.78,61.68,48.26,40.01,0,0
40, torque, FreeMode, 3279.8, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.008322257,0.01016348,0.02011221,0.02402202,52.25,61.64,47.87,39.95,0,0
41, torque, FreeMode, 3279.82, 0, 0.4671873, 0, 0, False, 0, 0.6150317,-0.003590654,0.02386623,0.0394503,0.04624733,51.6,61.58,47.07,39.28,0,0
42, torque, FreeMode, 3279.84, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.0002824737,0.01480326,0.01938685,0.02439398,51.6,61.58,47.07,39.28,0,0
43, torque, FreeMode, 3279.86, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.009757065,0.03129764,0.03225559,0.04599093,51.03,61.39,46.84,38.35,0,0
44, torque, FreeMode, 3279.88, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.00654937,0.01769722,0.01161157,0.02215659,50.62,60.96,47.02,37.89,0,0
45, torque, FreeMode, 3279.9, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.007834458,0.0144698,0.01252486,0.02067912,50.62,60.96,47.02,37.89,0,0
46, torque, FreeMode, 3279.92, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.01470538,0.02610518,0.0282697,0.0411935,50.7,60.81,47.67,38.09,0,0
47, torque, FreeMode, 3279.94, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.01804482,0.005656917,0.009266923,0.02105925,50.24,60.64,48.87,39.13,0,0
48, torque, FreeMode, 3279.96, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.06069723,0.004430259,0.05090332,0.07934059,50.27,58.96,51,42.34,0,0
49, torque, FreeMode, 3279.98, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0,0,0,0,50.27,58.96,51,42.34,0,0
50, torque, FreeMode, 3280, 0, 0.4671873, 0, 0, False, 0, 0.6150317,0.04035801,-0.003703792,0.02611039,0.04821037,50.46,59,51.54,43.5,0,0
51, torque, FreeMode, 3280.02, 0, 0.4634988, 0, 0, False, 0, 0.6122345,0.02283236,-0.1917754,0.01415048,0.1936475,50.46,59,51.54,43.5,0,0
52, torque, FreeMode, 3280.04, 0, 0.4563429, 0, 0, False, 0, 0.6068351,0.04667403,-0.3721358,0.021928,0.3756919,50.18,58.65,51.9,43.75,0,0
53, torque, FreeMode, 3280.06, 0, 0.445928, 0, 0, False, 0, 0.5990424,0,-0.5266626,0,0.5266626,50.18,58.65,51.9,43.75,0,0
54, torque, FreeMode, 3280.08, 0, 0.4324493, 0, 0, False, 0, 0.5890775,0.04265018,-0.6874166,0.01741065,0.6889585,49.34,57.93,51.84,44.13,0,0
55, torque, FreeMode, 3280.1, 0, 0.4160907, 0, 0, False, 0, 0.5771754,0.03857496,-0.823927,0.02117548,0.8251013,49.06,57.05,51.25,44.17,0,0
56, torque, FreeMode, 3280.12, 0, 0.3970252, 0, 0, False, 0, 0.5635859,0.01181254,-0.9473311,0.008864984,0.9474462,49.49,57.54,50.49,43.69,0,0
57, torque, FreeMode, 3280.14, 0, 0.375415, 0, 0, False, 0, 0.5485767,0.02131616,-1.064388,0.01650629,1.064729,49.55,57.55,49.84,43.03,0,0
58, torque, FreeMode, 3280.16, 0, 0.3514129, 0, 0, False, 0, 0.5324388,0.01936675,-1.194288,0.01247797,1.19451,49.29,57.09,49.42,42.55,0,0
59, torque, FreeMode, 3280.18, 0, 0.3251623, 0, 0, False, 0, 0.5154906,0.04263343,-1.303449,0.02776281,1.304441,49.5,57.35,48.94,41.6,0,0
60, torque, FreeMode, 3280.2, 0, 0.2967982, 0, 0, False, 0, 0.4980855,0.01467858,-1.406429,0.01089254,1.406547,49.5,57.35,48.94,41.6,0,0
61, torque, FreeMode, 3280.22, 0, 0.2664474, 0, 0, False, 0, 0.4806186,0.03353956,-1.501804,0.02526186,1.502391,50.43,58.13,48.53,41.2,0,0
62, torque, FreeMode, 3280.24, 0, 0.2342291, 0, 0, False, 0, 0.4635335,0.03483247,-1.597174,0.02626,1.597769,50.9,58.28,48.74,41.21,0,0
63, torque, FreeMode, 3280.26, 0, 0.2002553, 0, 0, False, 0, 0.4473278,0,-1.697033,0,1.697033,50.9,58.28,48.74,41.21,0,0
64, torque, FreeMode, 3280.28, 0, 0.1646314, 0, 0, False, 0, 0.4325546,0.03658536,-1.776194,0.02590273,1.77676,50.88,58.09,48.59,41.23,0,0
65, torque, FreeMode, 3280.3, 0, 0.1274563, 0, 0, False, 0, 0.4198156,0.01633142,-1.871112,0.01437265,1.871238,50.77,58.2,48.51,41.23,0,0
66, torque, FreeMode, 3280.32, 0, 0.0888232, 0, 0, False, 0, 0.4097433,0.03354179,-1.916444,0.02557224,1.916908,50.98,58.46,48.75,41.82,0,0
67, torque, FreeMode, 3280.34, 0, 0.04881954, 0, 0, False, 0, 0.4029682,0.0173124,-1.993611,0.01069157,1.993714,50.98,58.46,48.75,41.82,0,0
68, torque, FreeMode, 3280.36, 0, 0.00752753, 0, 0, False, 0, 0.4000708,0.01953758,-2.061577,0.0133533,2.061713,51.1,58.21,48.81,41.94,0,0
69, torque, FreeMode, 3280.38, 0, -0.03497553, 0, 0, False, 0, 0.4015262,0.04798145,-2.120159,0.02175606,2.120813,51.19,58.1,48.76,42.05,0,0
70, torque, FreeMode, 3280.4, 0, -0.07861698, 0, 0, False, 0, 0.4076526,0.04438968,-2.16957,0.01670056,2.170089,51.49,58.13,48.49,42.2,0,0
71, torque, FreeMode, 3280.42, 0, -0.1233284, 0, 0, True, 0, 0.4185808,0.03965127,-2.220054,0.01162943,2.220439,51.67,58.4,48.25,42.36,0,0
72, torque, FreeMode, 3280.44, 0, -0.1690458, 0, 0, True, 0, 0.434254,0,-2.283638,0,2.283638,51.67,58.4,48.25,42.36,0,0
73, torque, FreeMode, 3280.46, 0, -0.2157087, 0, 0, True, 0, 0.454456,0.03668808,-2.319985,0.01148429,2.320303,51.72,58.3,47.79,41.73,0,0
74, torque, FreeMode, 3280.48, 0, -0.2632604, 0, 0, True, 0, 0.4788591,0.01715162,-2.371147,0.001342029,2.37121,51.61,57.97,47.55,41.43,0,0
75, torque, FreeMode, 3280.5, 0, -0.3116474, 0, 0, True, 0, 0.5070741,0.04055786,-2.409472,0.006051412,2.40982,51.66,57.86,47.29,41,0,0
76, torque, FreeMode, 3280.52, 0, -0.3608199, 0, 0, True, 0, 0.5386938,0,-2.456227,0,2.456227,51.66,57.86,47.29,41,0,0
77, torque, FreeMode, 3280.54, 0, -0.4107306, 0, 0, True, 0, 0.5733233,0.04390735,-2.481725,0.00878013,2.482129,51.83,58.18,46.76,40.46,0,0
78, torque, FreeMode, 3280.56, 0, -0.4613352, 0, 0, True, 0, 0.6105982,0.0594505,-2.551914,0.01542155,2.552654,52.08,58.51,46.26,40.35,0,0
79, torque, FreeMode, 3280.58, 0, -0.5125921, 0, 0, True, 0, 0.6501928,0.06301954,-2.561267,0.009463427,2.56206,52.4,57.9,45.99,40.62,0,0
80, torque, FreeMode, 3280.6, 0, -0.5644619, 0, 0, True, 0, 0.6918217,0,-2.590963,0,2.590963,52.4,57.9,45.99,40.62,0,0
81, torque, FreeMode, 3280.62, 0, -0.6169083, 0, 0, True, 0, 0.7352387,0.06484613,-2.62076,0.003342791,2.621564,52.56,57.68,45.91,40.82,0,0
82, torque, FreeMode, 3280.64, 0, -0.6698966, 0, 0, True, 0, 0.7802317,0.06693398,-2.649265,0.002398235,2.650112,52.6,57.35,46.24,41.3,0,0
83, torque, FreeMode, 3280.66, 0, -0.7233939, 0, 0, True, 0, 0.8266189,0.03408441,-2.678985,0.003621916,2.679204,52.6,57.35,46.24,41.3,0,0
84, torque, FreeMode, 3280.68, 0, -0.7773701, 0, 0, True, 0, 0.874245,0.07324442,-2.70584,0.003758128,2.706834,52.43,57.87,46.8,41.66,0,0
85, torque, FreeMode, 3280.7, 0, -0.8317962, 0, 0, True, 0, 0.9229761,0.04178378,-2.721584,7.592178E-05,2.721905,52.64,58.32,46.63,42,0,0
86, torque, FreeMode, 3280.72, 0, -0.8866453, 0, 0, True, 0, 0.9726973,0.07410859,-2.746356,0.002255323,2.747356,52.98,58.38,46.49,41.59,0,0
87, torque, FreeMode, 3280.74, 0, -0.941892, 0, 0, True, 0, 1.023309,0.03231365,-2.74666,-0.008387123,2.746862,53.24,57.85,46.06,41.3,0,0
88, torque, FreeMode, 3280.76, 0, -0.9975126, 0, 0, True, 0, 1.074724,0.03627498,-2.767012,-0.0006408691,2.76725,53.24,57.85,46.06,41.3,0,0
89, torque, FreeMode, 3280.78, 0, -1.053484, 0, 0, True, 0, 1.126867,0.08219203,-2.783233,0.01167186,2.784471,53.18,57.77,45.54,40.71,0,0
90, torque, FreeMode, 3280.8, 0, -1.109787, 0, 0, True, 0, 1.179672,0.03636113,-2.840923,-0.00406675,2.841158,53.4,57.85,44.87,40.05,0,0
91, torque, FreeMode, 3280.82, 0, -1.166399, 0, 0, True, 0, 1.23308,0.06607651,-2.789432,-0.006158596,2.790221,53.51,59.22,44.06,39.17,0,0
92, torque, FreeMode, 3280.84, 0, -1.223303, 0, 0, True, 0, 1.28704,0.02557224,-2.803794,-0.004792004,2.803915,53.51,59.22,44.06,39.17,0,0
93, torque, FreeMode, 3280.86, 0, -1.280482, 0, 0, True, 0, 1.341504,0.007956156,-2.688869,0.007616741,2.688892,54.19,60.11,43.45,38.92,0,0
94, torque, FreeMode, 3280.88, 0, -1.337918, 0, 0, True, 0, 1.396433,-0.005479766,-2.762302,0.008049942,2.76232,54.94,60.98,42.56,38.02,0,0
95, torque, FreeMode, 3280.9, 0, -1.395597, 0, 0, True, 0, 1.451789,-0.001853385,-2.649902,-0.003583955,2.649905,56.14,61.96,41.5,37.02,0,0
96, torque, FreeMode, 3280.92, 0, -1.453504, 0, 0, False, 0, 1.507539,-0.05306263,-2.717142,-0.004336474,2.717664,57.3,62.79,40.27,35.3,0.4946667,0
97, torque, FreeMode, 3280.94, 0, -1.511625, 0, 0, False, 0, 1.563652,-0.06307797,-2.699016,-0.00716456,2.699763,57.3,62.79,40.27,35.3,0.4946667,0
98, torque, FreeMode, 3280.96, 0, -1.569947, 0, 0, False, 0, 1.620103,-0.02274751,-2.5509,0.007706433,2.551013,57.5,63.53,39.34,34.26,0.527,0
99, torque, FreeMode, 3280.98, 0, -1.628458, 0, 0, False, 0, 1.676865,0.07801037,-2.801127,0.0308075,2.802382,57.69,64,38.39,33.47,0.5536667,0
100, torque, FreeMode, 3281, 0, -1.687147, 0, 0, False, 0, 1.733916,0.06656665,-2.632515,0.01806343,2.633418,58.65,65.19,37.18,32.69,0.5996668,0
101, torque, FreeMode, 3281.02, 0, -1.746004, 0, 0, False, 0, 1.791237,0.04347117,-2.805819,0.02540402,2.806271,58.65,65.19,37.18,32.69,0.5996668,0
102, torque, FreeMode, 3281.04, 0, -1.805017, 0, 0, False, 0, 1.848807,0.1272713,-2.761933,0.03773126,2.765121,59.94,66.76,36.42,31.5,0.6531112,0
103, torque, FreeMode, 3281.06, 0, -1.864179, 0, 0, False, 0, 1.90661,0.09102,-2.932726,0.008285711,2.93415,60.28,67.79,36.79,30.46,0.6757779,0
104, torque, FreeMode, 3281.08, 0, -1.923479, 0, 0, False, 0, 1.96463,0.08221082,-2.906953,0.02546431,2.908226,60.28,67.79,36.79,30.46,0.6757779,0
105, torque, FreeMode, 3281.1, 0, -1.982909, 0, 0, False, 0, 2.022852,0.1281708,-2.862662,0.03384958,2.86573,60.3,67.89,36.82,30.1,0.6807778,0
106, torque, FreeMode, 3281.12, 0, -2.042463, 0, 0, False, 0, 2.081263,0.06525886,-2.941508,0.02858381,2.94237,60.99,68.24,36.79,29.95,0.6943334,0
107, torque, FreeMode, 3281.14, 0, -2.102132, 0, 0, False, 0, 2.13985,0.1340857,-2.96251,0.03202597,2.965715,61.75,69.05,37.06,30.51,0.7025556,0
108, torque, FreeMode, 3281.16, 0, -2.161909, 0, 0, False, 0, 2.198602,0.04749912,-2.94798,0.03066793,2.948522,62.17,69.88,37.08,30.98,0.7109999,0
109, torque, FreeMode, 3281.18, 0, -2.221788, 0, 0, False, 0, 2.257508,0.1095224,-2.943395,0.03444281,2.945633,62.46,70.53,36.96,30.94,0.7232222,0
110, torque, FreeMode, 3281.2, 0, -2.281763, 0, 0, False, 0, 2.316558,0.06467419,-2.984167,0.01638459,2.984912,62.46,70.53,36.96,30.94,0.7232222,0
111, torque, FreeMode, 3281.22, 0, -2.341828, 0, 0, False, 0, 2.375744,0.115831,-2.959264,0.01086463,2.96155,62.59,70.62,36.77,30.97,0.7274445,0
112, torque, FreeMode, 3281.24, 0, -2.401978, 0, 0, False, 0, 2.435056,0.06459734,-2.972942,0.01682412,2.973691,62.43,70.41,36.62,30.9,0.7257779,0
113, torque, FreeMode, 3281.26, 0, -2.462207, 0, 0, False, 0, 2.494486,0.04786012,-2.971168,0.01643669,2.971598,62.43,70.41,36.62,30.9,0.7257779,0
114, torque, FreeMode, 3281.28, 0, -2.522511, 0, 0, False, 0, 2.554029,0.09597816,-2.969584,0.01962839,2.971199,62.49,70.14,36.22,30.35,0.734,0
115, torque, FreeMode, 3281.3, 0, -2.582886, 0, 0, False, 0, 2.613675,0.07293192,-3.037314,0.008584482,3.038202,62.74,70.18,35.9,30.15,0.743,0
116, torque, FreeMode, 3281.32, 0, -2.643326, 0, 0, False, 0, 2.67342,0.1065017,-2.966928,0.008712024,2.968851,62.85,70.42,35.4,29.63,0.7582222,0
117, torque, FreeMode, 3281.34, 0, -2.703829, 0, 0, False, 0, 2.733256,0.06138927,-2.999178,0.01073958,2.999826,62.85,70.42,35.4,29.63,0.7582222,0
118, torque, FreeMode, 3281.36, 0, -2.76439, 0, 0, False, 0, 2.793179,0.07667299,-2.973275,0.002224062,2.974265,63.41,71.04,34.74,28.61,0.7900001,0
119, torque, FreeMode, 3281.38, 0, -2.825006, 0, 0, False, 0, 2.853184,0.05159704,-3.011111,0.009998973,3.01157,64.07,71.9,33.68,27.5,0.831,0
120, torque, FreeMode, 3281.4, 0, -2.885673, 0, 0, False, 0, 2.913264,0.09055347,-3.00892,-0.01206263,3.010306,64.18,72.59,33.11,26.5,0.8573333,0
121, torque, FreeMode, 3281.42, 0, -2.946389, 0, 0, False, 0, 2.973417,0.05635573,-3.029213,0.005920782,3.029743,64.37,72.68,32.7,25.91,0.8715556,0
122, torque, FreeMode, 3281.44, 0, -3.007151, 0, 0, False, 0, 3.033637,0.05550105,-3.024259,0.003606285,3.024771,64.37,72.68,32.7,25.91,0.8715556,0
123, torque, FreeMode, 3281.46, 0, -3.067955, 0, 0, False, 0, 3.093921,0.06658787,-3.018352,0.0007022765,3.019087,64.84,73.29,32.41,25.48,0.8915556,0
124, torque, FreeMode, 3281.48, 0, -3.128799, 0, 0, False, 0, 3.154265,0.04094975,-3.037157,0.008340975,3.037445,65.35,73.9,32.18,25.23,0.9093333,0
125, torque, FreeMode, 3281.5, 0, -3.189682, 0, 0, False, 0, 3.214665,0.06046705,-3.037693,0.0004149646,3.038295,65.39,74.44,32.26,25.04,0.9170001,0
126, torque, FreeMode, 3281.52, 0, -3.250601, 0, 0, False, 0, 3.275119,0.0484314,-3.046637,0.007638326,3.047031,65.39,74.44,32.26,25.04,0.9170001,0
127, torque, FreeMode, 3281.54, 0, -3.311552, 0, 0, False, 0, 3.335623,0.04464452,-3.007038,0.01242326,3.007396,65.59,74.31,32.62,25.1,0.9131111,0
128, torque, FreeMode, 3281.56, 0, -3.372536, 0, 0, False, 0, 3.396174,0.03999809,-3.061246,0.00687286,3.061515,65.79,74.54,32.77,25.21,0.9150001,0
129, torque, FreeMode, 3281.58, 0, -3.433548, 0, 0, False, 0, 3.456769,0.03927556,-3.02844,0.007892143,3.028704,65.89,74.09,32.98,25.26,0.9082223,0
130, torque, FreeMode, 3281.6, 0, -3.494589, 0, 0, False, 0, 3.517407,0.03380975,-3.058379,0.008644662,3.058578,65.41,73.63,33.32,25.97,0.8861111,0
131, torque, FreeMode, 3281.62, 0, -3.555655, 0, 0, False, 0, 3.578084,0.03859943,-3.037467,0.006305974,3.037719,65.41,73.63,33.32,25.97,0.8861111,0
132, torque, FreeMode, 3281.64, 0, -3.616747, 0, 0, False, 0, 3.638799,0.03427878,-3.05333,0.008557576,3.053534,64.89,73.05,33.95,26.21,0.8642223,0
133, torque, FreeMode, 3281.66, 0, -3.677861, 0, 0, False, 0, 3.699549,0.02744089,-3.052282,0.01332055,3.052434,64.56,73.02,34.24,26.6,0.8526667,0
134, torque, FreeMode, 3281.68, 0, -3.738997, 0, 0, False, 0, 3.760332,0.01388364,-3.061369,0.02020933,3.061467,64.94,73.25,34.15,26.64,0.86,0
135, torque, FreeMode, 3281.7, 0, -3.800153, 0, 0, False, 0, 3.821147,0.02304393,-3.062476,0.01552117,3.062602,64.94,73.25,34.15,26.64,0.86,0
136, torque, FreeMode, 3281.72, 0, -3.861329, 0, 0, False, 0, 3.881992,-0.002359344,-3.066299,0.02822057,3.06643,65.25,73.14,33.97,26.64,0.8642223,0
137, torque, FreeMode, 3281.74, 0, -3.922523, 0, 0, False, 0, 3.942865,0.01113501,-3.057522,0.02308952,3.057629,65.15,73.13,34.02,26.71,0.8616667,0
138, torque, FreeMode, 3281.76, 0, -3.983733, 0, 0, False, 0, 4.003765,-0.008026774,-3.05383,0.03973277,3.054099,65.15,73.13,34.02,26.71,0.8616667,0
139, torque, FreeMode, 3281.78, 0, -4.04496, 0, 0, False, 0, 4.064689,-0.01892964,-3.042302,0.03815442,3.0426,64.77,73.04,34.24,27.03,0.8504445,0
140, torque, FreeMode, 3281.8, 0, -4.106201, 0, 0, False, 0, 4.125638,-0.01741461,-3.081766,0.04536946,3.082149,64.4,72.84,34.24,27.22,0.842,0
141, torque, FreeMode, 3281.82, 0, -4.167457, 0, 0, False, 0, 4.186609,0.02683342,-3.065192,0.0268912,3.065427,64.25,72.85,34.38,27.56,0.8351111,0
142, torque, FreeMode, 3281.84, 0, -4.228725, 0, 0, False, 0, 4.247602,-0.0139336,-3.04142,0.0526659,3.041908,64.4,73,34.79,27.79,0.8313334,0
143, torque, FreeMode, 3281.86, 0, -4.290007, 0, 0, False, 0, 4.308614,0.006793139,-3.04304,0.03176285,3.043214,64.19,72.43,34.92,28.22,0.8164445,0
144, torque, FreeMode, 3281.88, 0, -4.351299, 0, 0, False, 0, 4.369646,0.02209026,-3.064072,0.02559829,3.064259,64.19,72.43,34.92,28.22,0.8164445,0
145, torque, FreeMode, 3281.9, 0, -4.412603, 0, 0, False, 0, 4.430696,0.003762036,-3.045398,0.04683444,3.045761,63.97,72.15,35.11,28.3,0.807889,0
146, torque, FreeMode, 3281.92, 0, -4.473917, 0, 0, False, 0, 4.491763,0.01901627,-3.03468,0.01277086,3.034766,63.63,71.32,35.55,28.36,0.7893334,0
147, torque, FreeMode, 3281.94, 0, -4.535241, 0, 0, False, 0, 4.552846,0.01301035,-3.030869,0.02402515,3.030992,63.63,71.32,35.55,28.36,0.7893334,0
148, torque, FreeMode, 3281.96, 0, -4.596574, 0, 0, False, 0, 4.613945,-0.003837492,-3.021389,0.03556526,3.021601,62.08,69.54,36.47,29.29,0.7317778,0
149, torque, FreeMode, 3281.98, 0, -4.657916, 0, 0, False, 0, 4.675059,0.02658388,-3.059951,0.008552738,3.060079,61.21,68.28,38.13,30.87,0.6721112,0
150, torque, FreeMode, 3282, 0, -4.719265, 0, 0, False, 0, 4.736187,-0.001876738,-3.038538,0.01528893,3.038578,60.69,67.83,39.53,32.47,0.628,0
151, torque, FreeMode, 3282.02, 0, -4.780622, 0, 0, False, 0, 4.797328,0.02300011,-3.079864,0.005570575,3.079955,60.69,67.83,39.53,32.47,0.628,0
152, torque, FreeMode, 3282.04, 0, -4.841987, 0, 0, False, 0, 4.858481,-0.007343199,-3.061095,-0.003442532,3.061105,60.82,68.19,40.77,33.39,0.6094445,0
153, torque, FreeMode, 3282.06, 0, -4.903358, 0, 0, False, 0, 4.919646,0.01707025,-3.113836,-0.007405222,3.113891,60.09,67.83,41.69,34.87,0.5706667,0
154, torque, FreeMode, 3282.08, 0, -4.964735, 0, 0, False, 0, 4.980823,0.01794927,-3.072242,-0.003547482,3.072296,59.35,66.94,41.98,35.3,0.5445556,0
155, torque, FreeMode, 3282.1, 0, -5.026118, 0, 0, False, 0, 5.04201,0.01240679,-3.089558,-0.01972031,3.089646,59.37,66.19,41.89,35.32,0.5372223,0
